timestamp,symbol,session,regime,market_score,ml_probability,session_health,risk_multiplier,health_dynamic,health_source,health_note,decision,reasons
2026-06-24 13:55:11,XAUUSDm,NY,RANGING,80.0,0.3047502,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,REJECT,ml_threshold (0.305)
2026-06-24 13:59:54,XAUUSDm,NY,RANGING,80.0,0.3047502,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,REJECT,ml_filter,ml_threshold (0.305)
2026-06-24 14:06:56,XAUUSDm,NY,RANGING,80.0,0.2810442,0.5017025,0.2810442,0.2206583,-0.2206583,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,REJECT,ml_filter,ml_threshold (0.281)
2026-06-24 14:17:09,XAUUSDm,NY,RANGING,80.0,0.26916757,0.49647674,0.26916757,0.22730917,-0.22730917,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|HIGH|SELL,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.269)
2026-06-24 16:14:01,XAUUSDm,NY,RANGING,75.0,0.32215253,0.49381363,0.32215253,0.17166111,-0.17166111,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.322)
2026-06-24 16:15:01,XAUUSDm,NY,RANGING,75.0,0.30327895,0.49244675,0.30327895,0.1891678,-0.1891678,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.303)
2026-06-24 16:20:01,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 16:25:01,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
2026-06-24 16:30:01,XAUUSDm,NY,RANGING,80.0,0.30451822,0.49244675,0.30451822,0.18792853,-0.18792853,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.305)
2026-06-24 16:35:01,XAUUSDm,NY,RANGING,80.0,0.3119584,0.49244675,0.3119584,0.18048835,-0.18048835,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|SELL,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.312)
2026-06-24 16:40:01,XAUUSDm,NY,RANGING,80.0,0.31748086,0.4940114,0.31748086,0.17653054,-0.17653054,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|BUY,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.317)
2026-06-24 16:45:01,XAUUSDm,NY,RANGING,80.0,0.29694077,0.49244675,0.29694077,0.19550598,-0.19550598,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|SELL,0,0.0,0.0,0.0,UNKNOWN,REJECT,ml_filter,ml_threshold (0.297)
2026-06-24 16:50:02,XAUUSDm,NY,RANGING,0.0,0.0,0.0,0.0,0.0,0.0,HEALTHY,1.0,false,initialized_default,PnL feedback loop not implemented in A1,NY|RANGING|NORMAL|NEUTRAL,0,0.0,0.0,0.0,UNKNOWN,REJECT,market_score_filter,market_score_neutral
